stop_name,stop_lat,stop_lon,vehicle_type
Åsveien skole,63.415072,10.366014,700
Øie skole,63.322882,10.253675,700
Ølsholm,63.31878,10.146765,700
Østingen,63.368125,10.183328,700
Østmarkneset,63.453403,10.44968,700
Østmarkveien,63.449776,10.448951,700
Østre Berg,63.41512,10.431328,700
Østre Lund,63.350453,10.331402,700
Østre Rosten,63.362335,10.38175,700
Øverbylykkja,63.430251,10.172691,700
Øvre Eggan,63.33683,10.28129,700
Øvre Flatåsveg,63.373653,10.334149,700
Øvre Tvereggen,63.385563,10.422761,700
Øysand,63.322655,10.210285,700
Øysand camping,63.32632,10.21563,700
Øysandkrysset,63.32366,10.217264,700
